ID,BedrijfskenmerkenSBI2008,Perioden,Ziekteverzuimpercentage_1
0,T001081,1996KW01,5.5
1,T001081,1996KW02,4.6
2,T001081,1996KW03,4.0
3,T001081,1996KW04,4.7
4,T001081,1996JJ00,4.7
5,T001081,1997KW01,4.9
6,T001081,1997KW02,4.5
7,T001081,1997KW03,4.1
8,T001081,1997KW04,4.9
9,T001081,1997JJ00,4.6
10,T001081,1998KW01,5.2
11,T001081,1998KW02,4.9
12,T001081,1998KW03,4.5
13,T001081,1998KW04,5.3
14,T001081,1998JJ00,5.0
15,T001081,1999KW01,5.9
16,T001081,1999KW02,5.1
17,T001081,1999KW03,4.9
18,T001081,1999KW04,5.6
19,T001081,1999JJ00,5.4
20,T001081,2000KW01,5.9
21,T001081,2000KW02,5.3
22,T001081,2000KW03,5.2
23,T001081,2000KW04,5.7
24,T001081,2000JJ00,5.5
25,T001081,2001KW01,5.8
26,T001081,2001KW02,5.4
27,T001081,2001KW03,5.1
28,T001081,2001KW04,5.5
29,T001081,2001JJ00,5.5
30,T001081,2002KW01,5.9
31,T001081,2002KW02,5.4
32,T001081,2002KW03,4.9
33,T001081,2002KW04,5.4
34,T001081,2002JJ00,5.4
35,T001081,2003KW01,5.3
36,T001081,2003KW02,4.6
37,T001081,2003KW03,4.1
38,T001081,2003KW04,4.8
39,T001081,2003JJ00,4.7
40,T001081,2004KW01,4.7
41,T001081,2004KW02,4.0
42,T001081,2004KW03,3.7
43,T001081,2004KW04,4.3
44,T001081,2004JJ00,4.2
45,T001081,2005KW01,4.6
46,T001081,2005KW02,3.9
47,T001081,2005KW03,3.6
48,T001081,2005KW04,4.2
49,T001081,2005JJ00,4.1
50,T001081,2006KW01,4.6
51,T001081,2006KW02,4.0
52,T001081,2006KW03,3.7
53,T001081,2006KW04,4.3
54,T001081,2006JJ00,4.2
55,T001081,2007KW01,4.6
56,T001081,2007KW02,4.0
57,T001081,2007KW03,3.7
58,T001081,2007KW04,4.3
59,T001081,2007JJ00,4.2
60,T001081,2008KW01,4.6
61,T001081,2008KW02,4.0
62,T001081,2008KW03,3.7
63,T001081,2008KW04,4.2
64,T001081,2008JJ00,4.1
65,T001081,2009KW01,4.5
66,T001081,2009KW02,3.8
67,T001081,2009KW03,3.7
68,T001081,2009KW04,4.4
69,T001081,2009JJ00,4.1
70,T001081,2010KW01,4.4
71,T001081,2010KW02,4.0
72,T001081,2010KW03,3.9
73,T001081,2010KW04,4.4
74,T001081,2010JJ00,4.2
75,T001081,2011KW01,4.6
76,T001081,2011KW02,4.1
77,T001081,2011KW03,3.8
78,T001081,2011KW04,4.2
79,T001081,2011JJ00,4.2
80,T001081,2012KW01,4.4
81,T001081,2012KW02,3.9
82,T001081,2012KW03,3.6
83,T001081,2012KW04,4.1
84,T001081,2012JJ00,4.0
85,T001081,2013KW01,4.5
86,T001081,2013KW02,3.8
87,T001081,2013KW03,3.5
88,T001081,2013KW04,3.9
89,T001081,2013JJ00,3.9
90,T001081,2014KW01,4.0
91,T001081,2014KW02,3.7
92,T001081,2014KW03,3.5
93,T001081,2014KW04,4.0
94,T001081,2014JJ00,3.8
95,T001081,2015KW01,4.4
96,T001081,2015KW02,3.7
97,T001081,2015KW03,3.5
98,T001081,2015KW04,3.9
99,T001081,2015JJ00,3.9
100,T001081,2016KW01,4.3
101,T001081,2016KW02,3.8
102,T001081,2016KW03,3.5
103,T001081,2016KW04,4.1
104,T001081,2016JJ00,3.9
105,T001081,2017KW01,4.3
106,T001081,2017KW02,3.9
107,T001081,2017KW03,3.7
108,T001081,2017KW04,4.2
109,T001081,2017JJ00,4.0
110,T001081,2018KW01,4.9
111,T001081,2018KW02,4.1
112,T001081,2018KW03,3.9
113,T001081,2018KW04,4.3
114,T001081,2018JJ00,4.3
115,T001081,2019KW01,4.7
116,T001081,2019KW02,4.3
117,T001081,2019KW03,4.0
118,T001081,2019KW04,4.5
119,T001081,2019JJ00,4.4
120,T001081,2020KW01,5.2
121,T001081,2020KW02,4.5
122,T001081,2020KW03,4.4
123,T001081,2020KW04,4.9
124,T001081,2020JJ00,4.7
125,T001081,2021KW01,4.8
126,T001081,2021KW02,4.7
127,T001081,2021KW03,4.6
128,T001081,2021KW04,5.4
129,T001081,2021JJ00,4.9
130,T001081,2022KW01,6.3
131,T001081,2022KW02,5.4
132,T001081,2022KW03,5.0
133,T001081,2022KW04,5.6
134,T001081,2022JJ00,5.6
135,T001081,2023KW01,5.7
136,T001081,2023KW02,5.0
137,T001081,2023KW03,4.8
138,T001081,2023KW04,5.5
139,T001081,2023JJ00,5.3
140,301000 ,1996KW01,4.5
141,301000 ,1996KW02,3.8
142,301000 ,1996KW03,2.7
143,301000 ,1996KW04,3.2
144,301000 ,1996JJ00,3.6
145,301000 ,1997KW01,4.0
146,301000 ,1997KW02,3.2
147,301000 ,1997KW03,3.3
148,301000 ,1997KW04,3.5
149,301000 ,1997JJ00,3.5
150,301000 ,1998KW01,3.5
151,301000 ,1998KW02,3.1
152,301000 ,1998KW03,3.3
153,301000 ,1998KW04,3.8
154,301000 ,1998JJ00,3.4
155,301000 ,1999KW01,4.1
156,301000 ,1999KW02,2.8
157,301000 ,1999KW03,3.6
158,301000 ,1999KW04,4.0
159,301000 ,1999JJ00,3.6
160,301000 ,2000KW01,4.0
161,301000 ,2000KW02,4.0
162,301000 ,2000KW03,3.6
163,301000 ,2000KW04,4.1
164,301000 ,2000JJ00,3.9
165,301000 ,2001KW01,3.7
166,301000 ,2001KW02,3.4
167,301000 ,2001KW03,3.4
168,301000 ,2001KW04,3.0
169,301000 ,2001JJ00,3.4
170,301000 ,2002KW01,4.4
171,301000 ,2002KW02,3.4
172,301000 ,2002KW03,3.4
173,301000 ,2002KW04,4.2
174,301000 ,2002JJ00,3.9
175,301000 ,2003KW01,2.9
176,301000 ,2003KW02,2.0
177,301000 ,2003KW03,2.3
178,301000 ,2003KW04,3.4
179,301000 ,2003JJ00,2.7
180,301000 ,2004KW01,2.8
181,301000 ,2004KW02,2.1
182,301000 ,2004KW03,2.1
183,301000 ,2004KW04,2.6
184,301000 ,2004JJ00,2.4
185,301000 ,2005KW01,2.7
186,301000 ,2005KW02,2.0
187,301000 ,2005KW03,2.1
188,301000 ,2005KW04,2.5
189,301000 ,2005JJ00,2.3
190,301000 ,2006KW01,2.4
191,301000 ,2006KW02,1.8
192,301000 ,2006KW03,1.8
193,301000 ,2006KW04,2.3
194,301000 ,2006JJ00,2.1
195,301000 ,2007KW01,2.3
196,301000 ,2007KW02,1.7
197,301000 ,2007KW03,1.7
198,301000 ,2007KW04,2.2
199,301000 ,2007JJ00,2.0
200,301000 ,2008KW01,2.3
201,301000 ,2008KW02,1.8
202,301000 ,2008KW03,2.4
203,301000 ,2008KW04,2.5
204,301000 ,2008JJ00,2.3
205,301000 ,2009KW01,2.7
206,301000 ,2009KW02,2.7
207,301000 ,2009KW03,2.4
208,301000 ,2009KW04,2.8
209,301000 ,2009JJ00,2.7
210,301000 ,2010KW01,2.5
211,301000 ,2010KW02,2.6
212,301000 ,2010KW03,2.4
213,301000 ,2010KW04,2.8
214,301000 ,2010JJ00,2.6
215,301000 ,2011KW01,3.3
216,301000 ,2011KW02,2.7
217,301000 ,2011KW03,3.1
218,301000 ,2011KW04,3.1
219,301000 ,2011JJ00,3.0
220,301000 ,2012KW01,2.8
221,301000 ,2012KW02,2.8
222,301000 ,2012KW03,2.6
223,301000 ,2012KW04,3.0
224,301000 ,2012JJ00,2.8
225,301000 ,2013KW01,2.7
226,301000 ,2013KW02,2.6
227,301000 ,2013KW03,2.9
228,301000 ,2013KW04,2.8
229,301000 ,2013JJ00,2.7
230,301000 ,2014KW01,2.4
231,301000 ,2014KW02,2.3
232,301000 ,2014KW03,2.5
233,301000 ,2014KW04,2.9
234,301000 ,2014JJ00,2.5
235,301000 ,2015KW01,2.9
236,301000 ,2015KW02,2.5
237,301000 ,2015KW03,2.7
238,301000 ,2015KW04,3.0
239,301000 ,2015JJ00,2.8
240,301000 ,2016KW01,2.7
241,301000 ,2016KW02,2.5
242,301000 ,2016KW03,2.4
243,301000 ,2016KW04,2.5
244,301000 ,2016JJ00,2.5
245,301000 ,2017KW01,2.6
246,301000 ,2017KW02,2.5
247,301000 ,2017KW03,2.4
248,301000 ,2017KW04,2.4
249,301000 ,2017JJ00,2.5
250,301000 ,2018KW01,2.5
251,301000 ,2018KW02,2.5
252,301000 ,2018KW03,2.8
253,301000 ,2018KW04,2.4
254,301000 ,2018JJ00,2.5
255,301000 ,2019KW01,2.7
256,301000 ,2019KW02,2.7
257,301000 ,2019KW03,2.6
258,301000 ,2019KW04,2.5
259,301000 ,2019JJ00,2.6
260,301000 ,2020KW01,3.0
261,301000 ,2020KW02,3.2
262,301000 ,2020KW03,3.7
263,301000 ,2020KW04,3.6
264,301000 ,2020JJ00,3.4
265,301000 ,2021KW01,3.6
266,301000 ,2021KW02,3.3
267,301000 ,2021KW03,3.5
268,301000 ,2021KW04,3.8
269,301000 ,2021JJ00,3.6
270,301000 ,2022KW01,4.2
271,301000 ,2022KW02,4.1
272,301000 ,2022KW03,3.1
273,301000 ,2022KW04,3.3
274,301000 ,2022JJ00,3.7
275,301000 ,2023KW01,3.8
276,301000 ,2023KW02,3.4
277,301000 ,2023KW03,3.7
278,301000 ,2023KW04,3.7
279,301000 ,2023JJ00,3.6
280,305700 ,1996KW01,4.2
281,305700 ,1996KW02,3.3
282,305700 ,1996KW03,3.0
283,305700 ,1996KW04,3.5
284,305700 ,1996JJ00,3.5
285,305700 ,1997KW01,3.9
286,305700 ,1997KW02,3.2
287,305700 ,1997KW03,2.6
288,305700 ,1997KW04,3.3
289,305700 ,1997JJ00,3.2
290,305700 ,1998KW01,3.5
291,305700 ,1998KW02,3.4
292,305700 ,1998KW03,3.1
293,305700 ,1998KW04,4.2
294,305700 ,1998JJ00,3.5
295,305700 ,1999KW01,4.6
296,305700 ,1999KW02,4.0
297,305700 ,1999KW03,3.4
298,305700 ,1999KW04,4.6
299,305700 ,1999JJ00,4.1
300,305700 ,2000KW01,4.9
301,305700 ,2000KW02,4.2
302,305700 ,2000KW03,4.0
303,305700 ,2000KW04,4.8
304,305700 ,2000JJ00,4.5
305,305700 ,2001KW01,4.6
306,305700 ,2001KW02,4.2
307,305700 ,2001KW03,3.4
308,305700 ,2001KW04,3.8
309,305700 ,2001JJ00,4.0
310,305700 ,2002KW01,3.9
311,305700 ,2002KW02,3.5
312,305700 ,2002KW03,2.9
313,305700 ,2002KW04,4.0
314,305700 ,2002JJ00,3.6
315,305700 ,2003KW01,4.2
316,305700 ,2003KW02,3.9
317,305700 ,2003KW03,3.4
318,305700 ,2003KW04,3.8
319,305700 ,2003JJ00,3.8
320,305700 ,2004KW01,3.6
321,305700 ,2004KW02,3.1
322,305700 ,2004KW03,2.6
323,305700 ,2004KW04,3.4
324,305700 ,2004JJ00,3.2
325,305700 ,2005KW01,3.8
326,305700 ,2005KW02,3.3
327,305700 ,2005KW03,2.8
328,305700 ,2005KW04,3.6
329,305700 ,2005JJ00,3.4
330,305700 ,2006KW01,3.5
331,305700 ,2006KW02,2.9
332,305700 ,2006KW03,2.5
333,305700 ,2006KW04,3.2
334,305700 ,2006JJ00,3.0
335,305700 ,2007KW01,3.4
336,305700 ,2007KW02,2.8
337,305700 ,2007KW03,2.4
338,305700 ,2007KW04,3.1
339,305700 ,2007JJ00,2.9
340,305700 ,2008KW01,3.2
341,305700 ,2008KW02,3.2
342,305700 ,2008KW03,2.5
343,305700 ,2008KW04,3.1
344,305700 ,2008JJ00,3.0
